v1_column,v2_column,change_type
"/DataEnvelope/Uses/Use/SuitableUseCase/suitableUseCase","/DataEnvelope/Uses/Use/SuitableUseCase/suitableUseCase","unchanged"
"/DataEnvelope/Uses/Use/SuitableUseCase/additionalNotes","/DataEnvelope/Uses/Use/SuitableUseCase/additionalNotes","unchanged"
"/DataEnvelope/Uses/Use/UnsuitableUseCase/unsuitableUseCase","/DataEnvelope/Uses/Use/UnsuitableUseCase/unsuitableUseCase","unchanged"
"/DataEnvelope/Uses/Use/UnsuitableUseCase/additionalNotes","/DataEnvelope/Uses/Use/UnsuitableUseCase/additionalNotes","unchanged"
"/DataEnvelope/Uses/UseWithOtherData/SafetyLevel","/DataEnvelope/Uses/UseWithOtherData/safetyLevel","renamed"
"/DataEnvelope/Uses/UseWithOtherData/safetyLevelOther","/DataEnvelope/Uses/UseWithOtherData/safetyLevelOther","unchanged"
"/DataEnvelope/Uses/UseWithOtherData/knownSafeDatasetsDataTypes","/DataEnvelope/Uses/UseWithOtherData/knownSafeDatasetsDataTypes","unchanged"
"/DataEnvelope/Uses/UseWithOtherData/KnownUnsafeDatasetsDataTypes","/DataEnvelope/Uses/UseWithOtherData/knownUnsafeDatasetsDataTypes","renamed"
"/DataEnvelope/Uses/UseInMLOrAISystems/datasetUses","/DataEnvelope/Uses/UseInMLOrAISystems/datasetUses","unchanged"
"/DataEnvelope/Uses/UseInMLOrAISystems/otherDatasetUses","/DataEnvelope/Uses/UseInMLOrAISystems/otherDatasetUses","unchanged"
"/DataEnvelope/Uses/UseInMLOrAISystems/notableFeatures","/DataEnvelope/Uses/UseInMLOrAISystems/notableFeatures","unchanged"
"/DataEnvelope/Uses/UseInMLOrAISystems/knownCorrelations","/DataEnvelope/Uses/UseInMLOrAISystems/knownCorrelations","unchanged"
"/DataEnvelope/Uses/UseInMLOrAISystems/usageGuidelines","/DataEnvelope/Uses/UseInMLOrAISystems/usageGuidelines","unchanged"
"/DataEnvelope/Uses/UseInMLOrAISystems/dataSplits","/DataEnvelope/Uses/UseInMLOrAISystems/dataSplits","unchanged"
"/DataEnvelope/Uses/Sampling/safetyLevel","/DataEnvelope/Uses/Sampling/safetyLevel","unchanged"
"/DataEnvelope/Uses/Sampling/otherSafetyLevel","/DataEnvelope/Uses/Sampling/otherSafetyLevel","unchanged"
"/DataEnvelope/Uses/Sampling/acceptableSamplingMethods","/DataEnvelope/Uses/Sampling/acceptableSamplingMethods","unchanged"
"/DataEnvelope/Uses/Sampling/otherAcceptableSamplingMethods","/DataEnvelope/Uses/Sampling/otherAcceptableSamplingMethods","unchanged"
"/DataEnvelope/Uses/Sampling/bestPractices","/DataEnvelope/Uses/Sampling/bestPractices","unchanged"
"/DataEnvelope/Uses/Sampling/risksAndMitigations","/DataEnvelope/Uses/Sampling/risksAndMitigations","unchanged"
"/DataEnvelope/Uses/feedbackElaboration/feedbackSectionFour","/DataEnvelope/Uses/Comments/comment","renamed"
"/DataEnvelope/HumanPerspective/HumanAnnotators/annotatorDescription","/DataEnvelope/HumanPerspective/HumanAnnotators/annotatorDescription","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/taskType","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/taskType","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/numberOfUniqueAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/numberOfUniqueAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/avgannotations","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/avgannotations","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/expertiseOfAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/expertiseOfAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/descriptionOfAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/descriptionOfAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/compensation","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/compensation","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/languageDistributionOfAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/languageDistributionOfAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/numLanguageDistrib","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/numLanguageDistrib","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/ageDistributionOfAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/ageDistributionOfAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/numAgeDistrib","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/numAgeDistrib","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/geographicDistributionOfAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/geographicDistributionOfAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/genderDistributionOfAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/genderDistributionOfAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/socioEconomicDistribOfAnnotators","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/socioEconomicDistribOfAnnotators","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/summaryOfAnnotationInstructions","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/summaryOfAnnotationInstructions","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/annotationPlatforms","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/annotationPlatforms","unchanged"
"/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/additionalNotes","/DataEnvelope/HumanPerspective/HumanAnnotators/AnnotationType/additionalNotes","unchanged"
"/DataEnvelope/HumanPerspective/Creators/creatorPositionality","/DataEnvelope/HumanPerspective/Creators/creatorPositionality","unchanged"
"/DataEnvelope/HumanPerspective/feedbackElaboration/feedbackSectionFive","/DataEnvelope/HumanPerspective/Comments/comment","renamed"
"","/DataEnvelope/DatasetMetadata/Genre/otherTerm/termUri","new_in_v2"
"","/DataEnvelope/DatasetMetadata/Topic/otherTerm/termUri","new_in_v2"
"","/DataEnvelope/DatasetMetadata/GeographicalCoverage/otherTerm/termUri","new_in_v2"
"","/DataEnvelope/DatasetMetadata/Languages/otherTerm/termUri","new_in_v2"
"","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Creators/Comments/comment","new_in_v2"
"","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Funders/orcidId","new_in_v2"
"","/DataEnvelope/DatasetMetadata/ResponsibleAgents/PublishingOrganisation/OrganisationType/otherTerm/termUri","new_in_v2"
"","/DataEnvelope/Data/DataResourceDescription/DataModality/otherTerm/termUri","new_in_v2"
"","/DataEnvelope/Data/DataFields/ExternalSchema/externalSchemaLink","new_in_v2"
"","/DataEnvelope/Data/DataFields/ExternalSchema/externalSchemaNote","new_in_v2"
"","/DataEnvelope/Data/ExternalResources/extResourcesDescription","new_in_v2"
